                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3341,                 4.1066,                 4.1326,                 1.2844,                0.00065,                 0.0662,                0.00183,                0.00049,                      0,                      0,                      0,                      0,                 2.4927,                 30.542,                 4.1858,                 1.4198,                 0.0946,                 0.0006,                 0.0006
                      2,                 2.2255,                  3.695,                 3.4928,                 1.1775,                0.00068,                0.06969,                0.01009,                0.00223,                  3e-05,                0.00348,                  3e-05,                  2e-05,                 2.2809,                 21.664,                 4.1017,                 1.4123,               0.088279,              0.0012786,              0.0012786
                      3,                 2.0268,                 3.6045,                 3.0674,                 1.1436,                0.00075,                0.07666,                0.00549,                 0.0017,                0.00024,                0.02439,                0.00054,                0.00013,                 2.1599,                 20.099,                 4.0283,                 1.3789,               0.081934,               0.001934,               0.001934
                      4,                 1.9428,                 3.4813,                 2.8462,                 1.1354,                0.00075,                0.07666,                0.00975,                0.00352,                0.00048,                0.04878,                0.00286,                0.00069,                 2.1682,                 14.632,                 4.0093,                 1.4237,               0.075566,              0.0025663,              0.0025663
                      5,                 1.8569,                 3.4226,                 2.6767,                 1.1567,                0.01538,                0.04878,                0.01932,                0.01243,                0.01535,                 0.0453,                 0.0193,                0.00931,                 2.6836,                 15.307,                 4.1822,                 1.7721,               0.069176,              0.0031756,              0.0031756
                      6,                 1.8004,                 3.2046,                 2.4408,                 1.1091,                0.00887,                0.07317,                0.01023,                0.00342,                0.00676,                 0.0662,                0.00547,                0.00295,                 2.1322,                 10.303,                 4.0513,                  1.457,               0.062762,              0.0037618,              0.0037618
                      7,                 1.8997,                 3.3476,                 2.4793,                 1.1334,                0.00078,                0.05923,                0.00217,                0.00078,                0.00074,                0.05575,                0.00199,                0.00069,                 2.0807,                 9.5165,                 4.0527,                 1.4078,               0.056325,              0.0043248,              0.0043248
                      8,                 1.9164,                 3.2218,                 2.3003,                 1.1372,                0.00073,                0.03484,                0.00053,                0.00026,                0.00051,                0.02439,                 0.0004,                0.00017,                 2.1481,                 11.206,                 4.0809,                 1.3803,               0.049865,              0.0048648,              0.0048648
                      9,                 1.9541,                 3.4534,                 2.2768,                 1.1657,                0.06343,                 0.0662,                0.03723,                0.00924,                0.06357,                0.06969,                0.03724,                0.01964,                 2.0985,                 7.0358,                 4.0004,                 1.3137,               0.043382,              0.0053816,              0.0053816
                     10,                 1.9121,                 3.2873,                 2.1668,                 1.1223,                0.08761,                 0.1777,                0.07751,                0.03619,                0.07773,                0.16028,                 0.0719,                0.03551,                  2.022,                 7.2491,                 3.8662,                 1.2642,               0.036875,              0.0058753,              0.0058753
                     11,                 1.8449,                 3.3204,                 2.0372,                 1.0917,                0.07436,                0.49129,                0.15746,                0.06939,                 0.0591,                0.39024,                0.10127,                0.03498,                 2.0854,                 6.0742,                 3.5545,                 1.2597,               0.030346,               0.006346,               0.006346
                     12,                 1.7943,                 3.1193,                 2.0452,                 1.1382,                0.06326,                0.54704,                0.14495,                0.06544,                 0.0496,                0.41463,                0.10974,                0.03807,                  1.939,                 5.1012,                 3.3572,                 1.1944,               0.023794,              0.0067935,              0.0067935
                     13,                 1.8488,                 3.2663,                 1.9641,                 1.0988,                0.05435,                0.59233,                0.15528,                0.07483,                0.03732,                0.39721,                 0.1086,                0.04557,                 1.9013,                 5.4192,                 3.1195,                 1.1582,               0.017218,               0.007218,               0.007218
                     14,                 1.7411,                 3.1856,                 1.8282,                 1.0807,                0.05435,                0.59233,                0.15528,                0.07483,                0.03732,                0.39721,                 0.1086,                0.04557,                 1.9013,                 5.4192,                 3.1195,                 1.1582,               0.010619,              0.0076193,              0.0076193
                     15,                 1.7684,                 3.1801,                 1.8348,                 1.0863,                 0.0532,                0.61324,                0.15881,                0.08121,                0.03994,                0.45645,                0.12513,                0.04903,                 1.8865,                 4.3176,                 2.9337,                 1.1096,                0.00769,                0.00769,                0.00769
                     16,                 1.7709,                 3.1383,                 1.7552,                 1.1144,                0.05345,                 0.5993,                0.19127,                 0.0836,                0.05062,                0.54007,                0.15347,                0.06912,                 2.0411,                 4.5976,                 2.6776,                 1.1971,               0.007525,               0.007525,               0.007525
                     17,                 1.8171,                 3.1977,                 1.7425,                 1.1258,                0.21474,                0.36886,                 0.1905,                0.08691,                0.14178,                0.35412,                0.13446,                0.05764,                 1.9726,                 4.3617,                 2.5098,                 1.1295,                0.00736,                0.00736,                0.00736
                     18,                  1.671,                 2.8997,                 1.6798,                 1.0546,                0.30678,                0.36063,                0.23082,                 0.1133,                0.25546,                0.29607,                0.17148,                0.08428,                 1.8666,                 4.0334,                 2.0589,                  1.109,               0.007195,               0.007195,               0.007195
                     19,                 1.6828,                 2.9797,                  1.683,                 1.0288,                 0.2644,                0.36948,                0.21699,                0.11188,                0.20073,                0.28223,                0.16419,                0.07587,                 1.8001,                 3.8175,                 1.9277,                 1.0894,                0.00703,                0.00703,                0.00703
                     20,                   1.63,                 2.9093,                 1.6803,                 1.0397,                0.26508,                0.37282,                0.24903,                0.12973,                 0.2223,                0.31707,                0.18415,                0.08629,                 1.7381,                 3.7965,                 1.8688,                  1.072,               0.006865,               0.006865,               0.006865
                     21,                 1.6358,                 3.0275,                 1.6249,                 1.0341,                0.26888,                0.40767,                0.27306,                0.13344,                0.22166,                0.33101,                 0.1946,                0.07765,                 1.7232,                 3.5807,                 1.9439,                 1.0409,                 0.0067,                 0.0067,                 0.0067
                     22,                 1.6255,                 2.8585,                 1.6493,                  1.044,                0.26888,                0.40767,                0.27306,                0.13344,                0.22166,                0.33101,                 0.1946,                0.07765,                 1.7232,                 3.5807,                 1.9439,                 1.0409,               0.006535,               0.006535,               0.006535
                     23,                  1.565,                  2.864,                 1.6036,                 1.0411,                0.23252,                0.44983,                0.26139,                0.13634,                0.22194,                0.36585,                0.20487,                0.08566,                 1.6666,                 3.3329,                 2.1994,                 1.0129,                0.00637,                0.00637,                0.00637
                     24,                 1.5176,                 2.8527,                  1.549,                 1.0415,                0.28066,                0.42051,                0.27656,                 0.1439,                0.28224,                 0.3554,                0.23333,                0.10032,                 1.6495,                 3.5857,                  2.239,                 1.0344,               0.006205,               0.006205,               0.006205
                     25,                 1.5333,                 2.8081,                 1.5474,                 1.0643,                0.25838,                0.44845,                0.29232,                0.15735,                 0.2263,                0.39257,                0.23749,                0.09764,                 1.6042,                 3.4918,                 2.2485,                 1.0006,                0.00604,                0.00604,                0.00604
                     26,                 1.4658,                  2.671,                 1.4569,                 1.0037,                0.24019,                 0.4669,                0.24617,                0.13377,                0.23054,                0.36951,                 0.1946,                0.08107,                 1.5616,                 3.3951,                 2.7606,                 1.0014,               0.005875,               0.005875,               0.005875
                     27,                 1.5268,                  2.882,                 1.5001,                 1.0452,                0.28434,                0.42943,                 0.2947,                0.15788,                0.22619,                0.44599,                 0.2339,                0.10257,                 1.5586,                  3.208,                 1.9479,                 1.0217,                0.00571,                0.00571,                0.00571
                     28,                 1.5143,                 2.7259,                 1.4604,                 1.0237,                0.28888,                0.49447,                 0.3106,                0.16796,                0.27556,                0.35192,                0.22541,                0.09283,                 1.5578,                 3.1046,                 1.7137,                 1.0123,               0.005545,               0.005545,               0.005545
                     29,                 1.5345,                 2.8537,                  1.479,                 1.0131,                0.31405,                0.47856,                0.31403,                0.16074,                0.30431,                 0.3628,                0.23704,                0.09038,                 1.6032,                 3.0076,                 1.6165,                 1.0196,                0.00538,                0.00538,                0.00538
                     30,                 1.5209,                  2.646,                 1.4838,                  1.023,                0.31405,                0.47856,                0.31403,                0.16074,                0.30431,                 0.3628,                0.23704,                0.09038,                 1.6032,                 3.0076,                 1.6165,                 1.0196,               0.005215,               0.005215,               0.005215
                     31,                 1.5316,                 2.7666,                 1.4505,                 1.0288,                0.38415,                 0.4067,                0.32369,                0.17484,                0.33224,                0.38181,                0.25851,                0.10628,                 1.5648,                 3.0718,                 1.5437,                 1.0151,                0.00505,                0.00505,                0.00505
                     32,                 1.4189,                 2.6754,                 1.4142,                 1.0238,                0.32558,                0.52218,                0.32249,                0.17911,                0.30228,                 0.4802,                0.28881,                0.13571,                 1.4731,                 2.9322,                  1.575,                0.99117,               0.004885,               0.004885,               0.004885
                     33,                 1.4749,                 2.8409,                 1.4374,                 1.0132,                0.35994,                0.45993,                0.31444,                0.18026,                 0.3478,                0.39445,                0.25833,                0.12317,                  1.442,                 2.8207,                 1.5844,                0.97259,                0.00472,                0.00472,                0.00472
                     34,                 1.4416,                 2.7843,                 1.4051,                0.99233,                0.38672,                0.43672,                0.32791,                0.18607,                0.35852,                0.39152,                0.25847,                0.11382,                 1.4541,                 2.8468,                 1.5969,                 0.9691,               0.004555,               0.004555,               0.004555
                     35,                 1.4107,                 2.6847,                 1.3671,                0.98944,                0.33529,                0.55196,                 0.3387,                0.18876,                0.32741,                0.40577,                0.26556,                 0.1042,                 1.4984,                  2.894,                 1.6419,                0.97361,                0.00439,                0.00439,                0.00439
                     36,                 1.5031,                 2.7601,                 1.4414,                0.99035,                0.32402,                0.56098,                0.33751,                0.19416,                0.34243,                0.39992,                0.27988,                0.11647,                  1.433,                 2.7803,                 1.5807,                0.95621,               0.004225,               0.004225,               0.004225
                     37,                 1.3927,                 2.5888,                 1.3431,                0.98431,                0.35784,                0.53486,                 0.3529,                0.20218,                 0.3221,                0.44694,                 0.2823,                0.12734,                 1.3881,                 2.7135,                 1.5069,                0.94643,                0.00406,                0.00406,                0.00406
                     38,                 1.3687,                 2.6181,                  1.364,                0.99082,                0.35784,                0.53486,                 0.3529,                0.20218,                 0.3221,                0.44694,                 0.2823,                0.12734,                 1.3881,                 2.7135,                 1.5069,                0.94643,               0.003895,               0.003895,               0.003895
                     39,                 1.2837,                 2.5049,                 1.3337,                0.97536,                0.34034,                0.54897,                0.34684,                0.21235,                0.30881,                0.44602,                0.28212,                0.12011,                 1.3646,                 2.7483,                 1.4378,                0.93913,                0.00373,                0.00373,                0.00373
