                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.3656,                  2.603,                 1.3243,                0.98559,                0.36507,                 0.5107,                0.35782,                0.21847,                0.32461,                0.43807,                0.27831,                0.12641,                 1.3606,                 2.7217,                 1.4238,                0.94348,               0.003565,               0.003565,               0.003565
                     41,                 1.3379,                 2.4686,                 1.2976,                0.96031,                0.36072,                0.50142,                 0.3461,                0.21156,                 0.3443,                0.43836,                  0.274,                0.13159,                 1.3499,                 2.7126,                 1.4355,                0.94639,                 0.0034,                 0.0034,                 0.0034
                     42,                  1.376,                 2.7298,                 1.3696,                 1.0048,                0.35412,                0.52084,                0.35755,                0.21353,                0.32904,                0.43858,                0.28676,                0.14268,                 1.3522,                 2.7211,                 1.4325,                0.95058,               0.003235,               0.003235,               0.003235
                     43,                 1.3475,                 2.5401,                 1.3122,                0.99026,                0.35239,                0.55123,                0.35568,                0.21327,                0.33474,                0.46255,                0.29245,                0.13424,                 1.3291,                 2.7501,                 1.4065,                0.93632,                0.00307,                0.00307,                0.00307
                     44,                 1.3282,                 2.5336,                 1.3152,                0.99569,                0.34498,                0.56363,                0.36094,                0.21455,                0.30588,                0.50765,                 0.2979,                0.12651,                 1.2967,                 2.7841,                 1.3904,                0.92504,               0.002905,               0.002905,               0.002905
                     45,                 1.3095,                  2.556,                  1.319,                0.96848,                0.34148,                0.56446,                0.35938,                 0.2157,                0.31176,                0.49283,                0.29341,                0.12574,                 1.2868,                 2.7377,                 1.3885,                0.92053,                0.00274,                0.00274,                0.00274
                     46,                  1.349,                 2.5728,                 1.3113,                0.95386,                0.34148,                0.56446,                0.35938,                 0.2157,                0.31176,                0.49283,                0.29341,                0.12574,                 1.2868,                 2.7377,                 1.3885,                0.92053,               0.002575,               0.002575,               0.002575
                     47,                 1.2956,                 2.5049,                 1.3246,                0.99291,                0.35188,                0.57773,                0.37124,                0.22578,                0.33085,                0.47994,                0.30514,                0.13244,                 1.2787,                 2.6916,                 1.3829,                0.91594,                0.00241,                0.00241,                0.00241
                     48,                 1.3292,                 2.5535,                 1.3183,                0.97655,                0.36896,                0.58089,                 0.3812,                0.23013,                0.33705,                0.50626,                0.32248,                0.13873,                 1.2804,                 2.6618,                 1.3698,                0.92079,               0.002245,               0.002245,               0.002245
                     49,                 1.3263,                 2.5678,                 1.2611,                0.97213,                0.37132,                 0.5898,                0.37919,                0.22775,                 0.3382,                0.50967,                0.32774,                0.14567,                 1.2844,                 2.6408,                  1.358,                0.92291,                0.00208,                0.00208,                0.00208
                     50,                 1.2524,                 2.4976,                 1.2708,                0.97203,                0.36906,                0.54668,                0.38287,                0.22857,                0.32986,                0.47517,                 0.3059,                0.14148,                 1.2909,                 2.6282,                 1.3558,                0.92507,               0.001915,               0.001915,               0.001915
                     51,                 1.2906,                 2.4513,                 1.3972,                0.99634,                0.35788,                0.56738,                0.37796,                0.22536,                0.31661,                0.45669,                0.30238,                0.13851,                  1.284,                 2.6286,                 1.3489,                0.92335,                0.00175,                0.00175,                0.00175
                     52,                 1.2662,                 2.4206,                 1.3993,                0.97307,                0.35312,                0.57923,                0.37966,                0.22428,                  0.321,                0.47256,                0.30061,                0.13612,                 1.2768,                 2.6234,                 1.3417,                0.91957,               0.001585,               0.001585,               0.001585
                     53,                 1.2219,                 2.2941,                 1.3205,                0.98209,                0.36118,                0.56544,                0.39028,                0.22961,                0.32208,                 0.4826,                0.31372,                0.14479,                 1.3026,                 2.6324,                 1.3288,                0.92413,                0.00142,                0.00142,                0.00142
                     54,                  1.214,                  2.394,                 1.3022,                0.98623,                0.36118,                0.56544,                0.39028,                0.22961,                0.32208,                 0.4826,                0.31372,                0.14479,                 1.3026,                 2.6324,                 1.3288,                0.92413,               0.001255,               0.001255,               0.001255
                     55,                 1.1968,                 2.3135,                 1.2913,                0.98827,                0.35753,                0.57917,                0.39238,                0.22534,                0.33355,                0.45645,                 0.3133,                 0.1464,                 1.3102,                 2.5954,                 1.3264,                 0.9257,                0.00109,                0.00109,                0.00109
                     56,                 1.2285,                 2.3678,                 1.3155,                0.95951,                0.36036,                0.56515,                0.38901,                0.22739,                0.35322,                0.42702,                0.31366,                0.14733,                 1.2887,                 2.5734,                 1.3229,                0.92174,               0.000925,               0.000925,               0.000925
                     57,                 1.2163,                  2.301,                 1.3124,                0.97912,                0.36191,                0.56117,                  0.388,                 0.2293,                0.34602,                 0.4216,                0.30339,                0.14316,                 1.2646,                 2.5615,                 1.3274,                 0.9163,                0.00076,                0.00076,                0.00076
                     58,                 1.2024,                 2.3113,                 1.2967,                0.98285,                0.36346,                0.56052,                0.38249,                0.22877,                0.34906,                0.42022,                0.29818,                0.14055,                  1.247,                 2.5474,                 1.3255,                 0.9133,               0.000595,               0.000595,               0.000595
                     59,                  1.197,                 2.2785,                 1.2931,                0.95947,                0.37222,                0.51333,                0.37955,                0.22811,                0.33783,                0.43902,                0.29535,                0.13862,                 1.2395,                 2.5347,                 1.3261,                0.91252,                0.00043,                0.00043,                0.00043
                     60,                 1.1818,                 2.3258,                 1.2861,                0.95054,                0.37635,                0.53157,                0.37936,                0.22806,                0.33766,                0.44251,                0.29089,                0.13672,                 1.2352,                 2.5282,                 1.3267,                0.91167,               0.000265,               0.000265,               0.000265
