                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.334,                 4.1067,                 4.1324,                 1.2843,                0.00065,                 0.0662,                0.00178,                0.00048,                  3e-05,                0.00348,                  2e-05,                      0,                  2.497,                 30.629,                 4.1847,                 1.4198,                 0.0946,                 0.0006,                 0.0006
                      2,                  2.225,                 3.6976,                 3.4966,                 1.1786,                0.00075,                0.07666,                0.00822,                0.00192,                0.00017,                0.01742,                0.00023,                  3e-05,                 2.2778,                 21.781,                 4.0927,                 1.4111,               0.088279,              0.0012786,              0.0012786
                      3,                 2.0242,                 3.5942,                 3.0567,                 1.1434,                0.00075,                0.07666,                0.00566,                0.00196,                0.00027,                0.02787,                0.00063,                0.00022,                 2.1643,                 20.135,                 4.0204,                 1.3507,               0.081934,               0.001934,               0.001934
                      4,                 1.9592,                 3.5105,                 2.8437,                  1.138,                0.00078,                0.06272,                0.00979,                 0.0026,                0.00065,                0.05226,                0.00423,                0.00088,                 2.2272,                 14.584,                 4.0364,                 1.4819,               0.075566,              0.0025663,              0.0025663
                      5,                 1.8452,                 3.3219,                 2.6785,                 1.1432,                0.00078,                0.06272,                0.00979,                 0.0026,                0.00065,                0.05226,                0.00423,                0.00088,                 2.6721,                 16.439,                 4.2067,                 1.7212,               0.069176,              0.0031756,              0.0031756
                      6,                 1.8487,                 3.1221,                 2.4527,                  1.122,                0.00078,                0.06272,                0.00979,                 0.0026,                0.00065,                0.05226,                0.00423,                0.00088,                 2.2651,                 14.379,                 4.1433,                 1.5343,               0.062762,              0.0037618,              0.0037618
