                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5044,                 2.5406,                 2.2994,                0.97009,                0.37113,                0.35881,                0.20209,                0.11849,                0.28401,                0.31731,                0.16564,                0.07998,                 1.5828,                 2.8529,                 2.4314,                0.94506,             0.00049504,             0.00049504,             0.00049504
                     25,                 1.5251,                 2.5302,                  2.349,                0.99065,                0.31305,                0.32917,                0.20193,                0.12475,                 0.3044,                0.29436,                0.17456,                0.08895,                 1.5615,                 2.7528,                 2.3337,                0.94265,             0.00047704,             0.00047704,             0.00047704
                     26,                 1.5234,                 2.4386,                  2.236,                0.94646,                0.32227,                0.34724,                0.21755,                0.13213,                0.31581,                0.31754,                0.18323,                 0.0879,                 1.5427,                 2.7542,                 2.2307,                0.94332,             0.00045904,             0.00045904,             0.00045904
                     27,                 1.5198,                 2.6345,                 2.2308,                0.97284,                0.27456,                0.41775,                0.22824,                0.13576,                 0.2586,                0.33101,                0.19259,                0.08792,                   1.56,                 2.7832,                 2.1672,                0.94744,             0.00044105,             0.00044105,             0.00044105
                     28,                 1.5413,                 2.5376,                 2.2135,                0.95393,                0.27225,                0.45443,                0.22734,                0.13647,                 0.2457,                 0.3734,                0.18577,                 0.0837,                 1.5388,                 2.7681,                 2.1243,                0.93492,             0.00042305,             0.00042305,             0.00042305
                     29,                 1.5812,                 2.7224,                 2.1522,                0.95726,                0.29097,                0.46456,                0.23345,                0.14222,                0.25704,                0.36829,                 0.1911,                0.08692,                  1.493,                 2.7206,                 2.0966,                0.92507,             0.00040505,             0.00040505,             0.00040505
                     30,                 1.4736,                  2.459,                 2.1439,                0.94957,                0.29097,                0.46456,                0.23345,                0.14222,                0.25704,                0.36829,                 0.1911,                0.08692,                  1.493,                 2.7206,                 2.0966,                0.92507,             0.00038705,             0.00038705,             0.00038705
                     31,                 1.5004,                 2.5944,                 2.1203,                0.95626,                0.30731,                0.41948,                0.24027,                0.14773,                0.30209,                 0.3554,                0.20195,                0.09313,                 1.4729,                 2.7527,                 2.0599,                0.93013,             0.00036905,             0.00036905,             0.00036905
                     32,                 1.4247,                 2.4543,                 2.0672,                0.95403,                0.35835,                0.39169,                0.25172,                0.14969,                 0.3139,                0.33741,                 0.2001,                0.09581,                 1.4715,                 2.7093,                 2.0146,                0.93155,             0.00035106,             0.00035106,             0.00035106
                     33,                 1.5073,                 2.6431,                 2.0833,                0.96739,                0.34669,                0.43969,                0.26514,                 0.1553,                0.29593,                0.38327,                0.20478,                0.09632,                 1.4438,                 2.6432,                 1.9783,                0.92484,             0.00033306,             0.00033306,             0.00033306
                     34,                 1.4571,                 2.5718,                 2.0146,                0.94268,                0.35146,                0.44891,                0.26794,                0.16146,                0.30203,                0.36608,                0.21246,                0.10107,                 1.4288,                 2.6232,                 1.9527,                0.92116,             0.00031506,             0.00031506,             0.00031506
                     35,                 1.4476,                 2.4912,                 2.0519,                 0.9467,                0.34124,                0.47256,                0.27226,                0.16174,                0.29094,                 0.3959,                0.20629,                0.09474,                  1.445,                 2.6358,                 1.9346,                0.92309,             0.00029706,             0.00029706,             0.00029706
                     36,                 1.5442,                 2.5785,                  2.055,                0.94332,                0.34922,                 0.4844,                0.28102,                0.16616,                0.28603,                0.38874,                0.20639,                0.09786,                 1.4511,                 2.6675,                 1.9077,                 0.9267,             0.00027906,             0.00027906,             0.00027906
                     37,                 1.4626,                 2.4024,                 1.9437,                0.94269,                0.35248,                 0.5088,                0.28843,                0.17034,                0.29411,                0.40469,                0.21369,                0.10025,                  1.447,                 2.6657,                 1.8859,                0.92966,             0.00026106,             0.00026106,             0.00026106
                     38,                 1.4018,                  2.482,                 1.9413,                0.93805,                0.35248,                 0.5088,                0.28843,                0.17034,                0.29411,                0.40469,                0.21369,                0.10025,                  1.447,                 2.6657,                 1.8859,                0.92966,             0.00024307,             0.00024307,             0.00024307
                     39,                 1.3365,                  2.375,                  1.893,                 0.9335,                0.35585,                0.50582,                  0.291,                 0.1723,                0.31125,                0.40867,                0.23055,                0.10112,                 1.4276,                  2.629,                 1.8657,                 0.9271,             0.00022507,             0.00022507,             0.00022507
                     40,                 1.4173,                 2.4884,                 1.8836,                0.93254,                0.34896,                0.50397,                0.28925,                0.17346,                0.30323,                 0.4308,                0.23714,                0.10441,                 1.4156,                 2.5786,                 1.8542,                0.92496,             0.00020707,             0.00020707,             0.00020707
                     41,                 1.3744,                 2.4071,                 1.9535,                0.95141,                0.34036,                0.50871,                0.29015,                0.17464,                0.30296,                0.43902,                0.24153,                0.10594,                 1.4046,                 2.5755,                 1.8476,                0.92171,             0.00018907,             0.00018907,             0.00018907
                     42,                  1.355,                 2.4097,                 1.9571,                0.93752,                0.34022,                0.51451,                0.28596,                0.17333,                0.29447,                0.42857,                0.23414,                0.10525,                 1.4004,                 2.5964,                 1.8423,                0.92134,             0.00017107,             0.00017107,             0.00017107
                     43,                 1.3502,                  2.364,                 1.9406,                0.94556,                0.34083,                0.49884,                0.29047,                0.17358,                0.30003,                0.42357,                0.23697,                0.10812,                 1.4147,                 2.6527,                 1.8432,                0.92523,             0.00015308,             0.00015308,             0.00015308
                     44,                 1.2996,                  2.302,                 1.8682,                0.94658,                0.34071,                0.48858,                0.29078,                0.17546,                0.29379,                  0.412,                0.23401,                0.11063,                 1.4158,                 2.6622,                 1.8409,                 0.9265,             0.00013508,             0.00013508,             0.00013508
                     45,                 1.3485,                  2.412,                 1.8851,                0.92895,                0.33604,                0.49052,                0.28923,                0.17475,                0.29272,                0.43206,                0.23814,                0.11016,                 1.4068,                  2.641,                 1.8529,                0.92447,             0.00011708,             0.00011708,             0.00011708
                     46,                 1.3347,                 2.3449,                 1.9794,                0.93882,                0.33604,                0.49052,                0.28923,                0.17475,                0.29272,                0.43206,                0.23814,                0.11016,                 1.4068,                  2.641,                 1.8529,                0.92447,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                 1.3727,                 2.3599,                 1.9554,                0.94563,                 0.3365,                0.48934,                0.28933,                0.17488,                0.29394,                0.41617,                0.23488,                 0.1089,                 1.3929,                 2.6187,                 1.8619,                0.92178,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                 1.3723,                 2.3322,                  1.914,                0.93684,                0.33558,                 0.4891,                0.28617,                0.17361,                0.29247,                0.39413,                0.23163,                0.10466,                 1.3907,                 2.5856,                 1.8763,                0.91971,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                 1.3341,                 2.2818,                 1.8919,                0.93187,                0.32842,                0.47387,                0.28499,                0.17285,                 0.2982,                0.38728,                0.22786,                0.10202,                  1.394,                 2.5744,                 1.8875,                0.91869,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                 1.3155,                 2.2526,                 1.8814,                0.93388,                0.32123,                0.49129,                0.27973,                0.17166,                0.28799,                0.38676,                0.22398,                 0.0991,                 1.3966,                 2.5659,                 1.8906,                0.91812,             2.7088e-05,             2.7088e-05,             2.7088e-05
